name,nitrogen,phosphorus,potassium
Activated Sewage Sludge,5,3,0
Alfalfa (Hay),2.45,0.5,2.1
Apple (Fruit),0.05,0.02,0.1
Apple (Leaves),1,0.15,0.35
Apple (Pomace),0.2,0.02,0.15
Apple (Skin or Ash),0,3.08,11.74
Banana Skin (Ash),0,3.25,41.76
Banana Stalk (Ash),0,2.34,49.4
Barley (Grain),1.75,0.75,0.5
Basic Slag,0,18,0
Bat Guano,1,2.5,0
Beans - Garden Beans & Pods,0.25,0.08,0.3
Beet (Root),0.25,0.1,0.5
Black-eyed Peas (Green forage),0.45,0.12,0.45
Black-eyed Peas (Seed),3.1,1,1.2
Blood Meal,12,0,0
Bone (Ground or Ash),0,34.7,0
Bone Meal,3.5,17,0
Brewery Grain (Wet),0.9,0.5,0.05
Brigham Tea (Ash),0,0,5.94
Calf manure,1.8,2.2,4.2
Cana Tree (Ash),0,0,15.65
Cantaloupe skin (Melon) (Ash),0,9.77,12.21
Castor-Bean (Pomace),5,2,1
Cattail / Bulrush reed & Stem,2.02,0.81,3.43
Cattail / Bulrush Seed,0.98,0.39,1.71
Chicken Manure,3.1,3,3
Chimney Soot,0.5,1,0.35
Coal (Anthracite) (Ash),0,0.1,0.1
Coal (Bituminous) (Ash),0,0.4,0.0
Cocoa shell (Dust),1.04,1.49,2.71
Coffee Grounds,2.08,0.32,0.28
Coffee Grounds (Dried),1.99,0.36,0.67
Comfrey,1.8,0.5,5.3
Common Crab,1.95,3.6,0.2
Corn (Grain),1.65,0.65,0.4
Corn (Green Forage),0.3,0.13,0.33
Corncobs (Ground Charred),0,0,2.01
Cotton Waste (Factory),1.32,0.45,0.36
Cottonseed,3.15,1.25,1.15
Cottonseed - hull (Ash),0,8.7,23.93
Cottonseed - hull ashes,0,7,15
Cottonseed Meal,6.6,2,1
Cow manure,1.9,0.7,2.1
Cowpeas (Green forage),0.45,0.12,0.45
Cowpeas (Seed),3.1,1,1.2
Crabgrass (Green),0.66,0.19,0.71
Cucumber (Skin) (Ash),0,11.28,27.2
Dog Manure,1.97,9.95,0.3
Duck Manure (Fresh),1.12,1.44,0.49
Earthworm Castings,1.7,2.7,0.9
Eggs,2.25,0.4,0.15
Eggshell,1.19,0.38,0.14
Eggshell (Burned),0,0.43,0.29
Feathers,15.3,0,0
Field Bean (Seed),4,1.2,1.3
Field Bean (Shell),1.7,0.3,0.35
Fish Scraps (Fresh),2,1.5,0
Fish,5,5,6.5
