uuid,created_at,updated_at,name,nitrogen,phosphorus,potassium
acded840-4e9d-42cf-b907-bbb5e6506c5e,2023-03-04 03:18:29.981057,2023-03-04 03:18:29.981060,Activated Sewage Sludge,5.0,3.0,0.0
a21bb7ef-86f7-4b36-9a21-3cb90bb0c180,2023-03-04 03:18:29.981455,2023-03-04 03:18:29.981456,Alfalfa (Hay),2.45,0.5,2.1
65a09aa8-c65c-4eaf-b8ba-b608927e331a,2023-03-04 03:18:29.981553,2023-03-04 03:18:29.981554,Apple (Fruit),0.05,0.02,0.1
b859b4d1-b484-42a4-b925-72e7e417bb94,2023-03-04 03:18:29.981635,2023-03-04 03:18:29.981636,Apple (Leaves),1.0,0.15,0.35
2b56acb3-4cb6-487b-a8b0-96eafa2d8c54,2023-03-04 03:18:29.981742,2023-03-04 03:18:29.981744,Apple (Pomace),0.2,0.02,0.15
f6e4bcf9-6cd9-4fda-b3e8-9ac65c5559e5,2023-03-04 03:18:29.981855,2023-03-04 03:18:29.981856,Apple (Skin or Ash),0.0,3.08,11.74
6911b971-6855-49df-b723-aec59c0e195d,2023-03-04 03:18:29.981938,2023-03-04 03:18:29.981939,Banana Skin (Ash),0.0,3.25,41.76
433aaf63-8d73-4004-87da-5b1d6b9a8e07,2023-03-04 03:18:29.982016,2023-03-04 03:18:29.982017,Banana Stalk (Ash),0.0,2.34,49.4
e3a86493-c2e5-459c-9622-d8f2d454c320,2023-03-04 03:18:29.982095,2023-03-04 03:18:29.982096,Barley (Grain),1.75,0.75,0.5
582f3ac5-4e28-4314-9974-0fbe7af1bf48,2023-03-04 03:18:29.982174,2023-03-04 03:18:29.982175,Basic Slag,0.0,18.0,0.0
a72ba203-79d7-4713-8974-75a10b4a2c99,2023-03-04 03:18:29.982286,2023-03-04 03:18:29.982287,Bat Guano,1.0,2.5,0.0
f905f679-d849-4e07-a79a-e1926229e856,2023-03-04 03:18:29.982375,2023-03-04 03:18:29.982375,Beans - Garden Beans & Pods,0.25,0.08,0.3
9278b7e9-75af-4939-9dd7-3a3471bdf9e0,2023-03-04 03:18:29.982452,2023-03-04 03:18:29.982453,Beet (Root),0.25,0.1,0.5
15fb1d8d-3964-4377-9dc9-af59f48c9897,2023-03-04 03:18:29.982529,2023-03-04 03:18:29.982530,Black-eyed Peas (Green forage),0.45,0.12,0.45
1ca5c93b-1cf6-4c42-84a7-65d1b819c3e6,2023-03-04 03:18:29.982604,2023-03-04 03:18:29.982605,Black-eyed Peas (Seed),3.1,1.0,1.2
705b56c0-74e5-47cd-bab9-0e20da090f01,2023-03-04 03:18:29.982688,2023-03-04 03:18:29.982689,Blood Meal,12.0,0.0,0.0
9a07ea76-f149-451b-a3be-41d303d1bb19,2023-03-04 03:18:29.982803,2023-03-04 03:18:29.982804,Bone (Ground or Ash),0.0,34.7,0.0
4bd6967d-a01c-4d9b-b151-565bf91c6a22,2023-03-04 03:18:29.982883,2023-03-04 03:18:29.982883,Bone Meal,3.5,17.0,0.0
78c4679e-bd82-4f6d-9787-5d532d77be97,2023-03-04 03:18:29.982963,2023-03-04 03:18:29.982964,Brewery Grain (Wet),0.9,0.5,0.05
247c7cc5-bde4-42ce-ae93-a8f7498d2109,2023-03-04 03:18:29.983040,2023-03-04 03:18:29.983041,Brigham Tea (Ash),0.0,0.0,5.94
14246e8e-c241-4270-aac0-c21222426fc5,2023-03-04 03:18:29.983115,2023-03-04 03:18:29.983116,Calf manure,1.8,2.2,4.2
ce7e0aaa-30df-451d-b5cd-8d5f353f5a62,2023-03-04 03:18:29.983215,2023-03-04 03:18:29.983216,Cana Tree (Ash),0.0,0.0,15.65
b9fb64e5-327d-4d11-89da-ebde55a136d5,2023-03-04 03:18:29.983301,2023-03-04 03:18:29.983302,Cantaloupe skin (Melon) (Ash),0.0,9.77,12.21
90a05f07-16ad-42fd-b981-9eed05e3c4d5,2023-03-04 03:18:29.983378,2023-03-04 03:18:29.983379,Castor-Bean (Pomace),5.0,2.0,1.0
8de8587f-e370-423a-9b87-6290e841dd7d,2023-03-04 03:18:29.983456,2023-03-04 03:18:29.983457,Cattail / Bulrush reed & Stem,2.02,0.81,3.43
5841e802-103d-4b44-a282-60e727890477,2023-03-04 03:18:29.983535,2023-03-04 03:18:29.983536,Cattail / Bulrush Seed,0.98,0.39,1.71
da0ae88f-bb29-4a20-8953-be7738d334a4,2023-03-04 03:18:29.983613,2023-03-04 03:18:29.983614,Chicken Manure,3.1,3.0,3.0
f5d740ee-d210-4b07-808a-9eb42e3e9eeb,2023-03-04 03:18:29.983691,2023-03-04 03:18:29.983692,Chimney Soot,0.5,1.0,0.35
23bf870b-6934-4819-9c1c-0d34b65789f9,2023-03-04 03:18:29.983768,2023-03-04 03:18:29.983769,Coal (Anthracite) (Ash),0.0,0.1,0.1
ed757b86-55ff-474f-9faf-37ffe2504db9,2023-03-04 03:18:29.983923,2023-03-04 03:18:29.983924,Coal (Bituminous) (Ash),0.0,0.4,0.0
0b7189f5-0ded-4bf4-8c6f-c2689db7f03b,2023-03-04 03:18:29.984002,2023-03-04 03:18:29.984002,Cocoa shell (Dust),1.04,1.49,2.71
03f55141-c182-4beb-b057-b61a67f08d3c,2023-03-04 03:18:29.984082,2023-03-04 03:18:29.984083,Coffee Grounds,2.08,0.32,0.28
cbd77254-af9f-4c84-b56c-088ce08494af,2023-03-04 03:18:29.984160,2023-03-04 03:18:29.984161,Coffee Grounds (Dried),1.99,0.36,0.67
f31cf53a-02dc-48ff-86fc-42427f5adaee,2023-03-04 03:18:29.984263,2023-03-04 03:18:29.984264,Comfrey,1.8,0.5,5.3
e05e9213-c5b4-492f-9b42-de46d5a03d68,2023-03-04 03:18:29.984399,2023-03-04 03:18:29.984400,Common Crab,1.95,3.6,0.2
41cdb1e7-a018-4679-bdd5-49919923b3d8,2023-03-04 03:18:29.984478,2023-03-04 03:18:29.984479,Corn (Grain),1.65,0.65,0.4
507bc336-8bfc-49bb-ba02-98f954f9cea2,2023-03-04 03:18:29.984552,2023-03-04 03:18:29.984553,Corn (Green Forage),0.3,0.13,0.33
cb7de38e-377f-4344-b658-d3c3779e815e,2023-03-04 03:18:29.984626,2023-03-04 03:18:29.984627,Corncobs (Ground Charred),0.0,0.0,2.01
cea28d05-6fc3-4b52-9728-b53784b11bb3,2023-03-04 03:18:29.984708,2023-03-04 03:18:29.984708,Cotton Waste (Factory),1.32,0.45,0.36
d101c7db-2039-4ced-bf85-9d9de036ac1f,2023-03-04 03:18:29.984783,2023-03-04 03:18:29.984783,Cottonseed,3.15,1.25,1.15
06965055-3c57-4cd7-84c8-dd25ff78e1c8,2023-03-04 03:18:29.984862,2023-03-04 03:18:29.984862,Cottonseed - hull (Ash),0.0,8.7,23.93
d2d79554-040c-4bcb-9406-87a7c9818aec,2023-03-04 03:18:29.984937,2023-03-04 03:18:29.984938,Cottonseed - hull ashes,0.0,7.0,15.0
620f65e7-70c2-4878-8518-d2065d145c80,2023-03-04 03:18:29.985012,2023-03-04 03:18:29.985013,Cottonseed Meal,6.6,2.0,1.0
a76b95ed-8970-49ac-9078-daa8055e9054,2023-03-04 03:18:29.985090,2023-03-04 03:18:29.985091,Cow manure,1.9,0.7,2.1
1bb93449-140c-478c-9f23-d6080bc8531e,2023-03-04 03:18:29.985166,2023-03-04 03:18:29.985167,Cowpeas (Green forage),0.45,0.12,0.45
bf71b53e-5dac-48d9-91b3-c3e0ca336b49,2023-03-04 03:18:29.985567,2023-03-04 03:18:29.985570,Cowpeas (Seed),3.1,1.0,1.2
9e7bcc92-65f6-4bdb-b045-326a3027dbfe,2023-03-04 03:18:29.985688,2023-03-04 03:18:29.985689,Crabgrass (Green),0.66,0.19,0.71
30660095-18de-4ccf-80da-2156f1c18b57,2023-03-04 03:18:29.985780,2023-03-04 03:18:29.985781,Cucumber (Skin) (Ash),0.0,11.28,27.2
a6f6627f-1f3c-48fb-a6d8-e894fdc1837d,2023-03-04 03:18:29.985868,2023-03-04 03:18:29.985869,Dog Manure,1.97,9.95,0.3
52f3f756-1f6c-44f9-b131-e2ec60f24829,2023-03-04 03:18:29.985960,2023-03-04 03:18:29.985961,Duck Manure (Fresh),1.12,1.44,0.49
daaec3b3-22d8-4538-897c-4c6f5a2fc5e0,2023-03-04 03:18:29.986050,2023-03-04 03:18:29.986051,Earthworm Castings,1.7,2.7,0.9
3d5054a0-b73f-48d8-972b-8e78b0f99a9e,2023-03-04 03:18:29.986139,2023-03-04 03:18:29.986140,Eggs,2.25,0.4,0.15
599014ad-81bb-4426-86be-27b2de5211bf,2023-03-04 03:18:29.986259,2023-03-04 03:18:29.986260,Eggshell,1.19,0.38,0.14
52706635-428d-462f-b158-0ba7a1771f98,2023-03-04 03:18:29.986347,2023-03-04 03:18:29.986348,Eggshell (Burned),0.0,0.43,0.29
01a6f9e6-28a5-4ec0-935d-738fd603adc1,2023-03-04 03:18:29.986503,2023-03-04 03:18:29.986504,Feathers,15.3,0.0,0.0
e9208f65-6748-4127-a69e-cbbbd66f2643,2023-03-04 03:18:29.986590,2023-03-04 03:18:29.986591,Field Bean (Seed),4.0,1.2,1.3
39dcbe99-6854-4652-9dd3-5323b94d8684,2023-03-04 03:18:29.986678,2023-03-04 03:18:29.986679,Field Bean (Shell),1.7,0.3,0.35
4060c5c6-beba-43ff-b057-f946a5c3d071,2023-03-04 03:18:29.986762,2023-03-04 03:18:29.986763,Fish Scraps (Fresh),2.0,1.5,0.0
cae50592-aa96-4ce9-9c07-a53bd90231b1,2023-03-04 03:18:29.986851,2023-03-04 03:18:29.986852,Fish,5.0,5.0,6.5
05f98d13-3b62-4cdd-abb4-e7151ce0dafd,2023-03-04 03:18:29.986935,2023-03-04 03:18:29.986936,Blood & Bone meal,5.0,5.0,6.5
7750300a-cb09-4ce5-8e09-94813dd8ebc8,2023-03-04 03:18:29.987019,2023-03-04 03:18:29.987020,Gluten feed,4.0,0.0,0.0
