id,uuid,updated_at,created_at,name,type
1,632c67bf-2671-4daf-aa51-923c8f2a7bef,2023-02-19 03:07:12.307526,2023-02-19 03:07:12.307541,macaroni and cheese,foodstuff
2,3763ce60-3a04-4b64-8c35-3116a9878757,2023-02-19 03:09:34.920609,2023-02-19 03:09:34.920623,cornbread mix,foodstuff
3,f8c45395-5770-4d64-9f53-a56ca79b0f99,2023-02-19 03:15:45.747834,2023-02-19 03:15:45.747845,black beans,foodstuff
4,e0df52f7-33bb-4a02-8b7c-07af90adde8c,2023-02-19 03:18:28.777283,2023-02-19 03:18:28.777296,sausage gravy,foodstuff
5,8799b225-14d1-484a-acde-c39fb841d2a2,2023-02-19 04:06:44.333888,2023-02-19 04:06:44.333903,ranch style beans,foodstuff
6,1ef0a5a5-1220-43aa-8a54-bc55b606f5e2,2023-02-19 04:11:18.887878,2023-02-19 04:11:18.887895,red kidney beans,foodstuff
7,d4a4774c-d5fb-4082-a7c8-d4611e3cb037,2023-02-19 04:22:03.128839,2023-02-19 04:22:03.128847,baked beans,foodstuff
8,dd563d2c-f66a-480a-a72f-08409a8d844b,2023-02-19 04:27:00.960905,2023-02-19 04:27:00.960918,corn,foodstuff
9,63cf3ca8-e979-4105-aef5-1c8df1e0c3c7,2023-02-19 04:30:20.321936,2023-02-19 04:30:20.321949,green beans,foodstuff
10,ac937690-f6d4-4f8a-8fd9-60179a234aef,2023-02-19 04:31:58.829412,2023-02-19 04:31:58.829420,tomatoes,foodstuff
11,a789341f-77df-41ea-8c17-9f9c0db8ac3e,2023-02-19 04:34:13.157138,2023-02-19 04:34:13.157152,mandarin oranges,foodstuff
12,7a5d9039-867b-46a7-8d25-a2d69e68c188,2023-02-19 04:35:17.552311,2023-02-19 04:35:17.552325,pineapple,foodstuff
