id,updated_at,created_at,item_id,container_id,packed,expires,count
1,2023-02-19 03:08:24.137697,2023-02-19 03:08:24.137709,1,1,2023-02-19 03:07:47.692000,2023-05-25 03:07:47.692000,2
2,2023-02-19 03:08:38.409547,2023-02-19 03:08:38.409560,1,1,2023-02-19 03:07:47.692000,2023-08-11 03:07:47.692000,1
3,2023-02-19 03:11:42.477206,2023-02-19 03:11:42.477218,2,2,2023-02-19 03:07:47.692000,2023-12-02 00:00:00,1
4,2023-02-19 03:18:04.934251,2023-02-19 03:18:04.934259,3,3,2023-02-19 03:07:47.692000,2023-10-18 00:00:00,3
5,2023-02-19 03:20:02.515839,2023-02-19 03:20:02.515851,4,4,2023-02-19 03:07:47.692000,2024-11-05 00:00:00,3
6,2023-02-19 04:08:08.483290,2023-02-19 04:08:08.483302,5,5,2023-02-19 04:06:55.862000,2023-09-21 00:00:00,2
7,2023-02-19 04:10:27.933190,2023-02-19 04:10:27.933196,5,6,2023-02-19 04:06:55.862000,2024-10-19 00:00:00,5
8,2023-02-19 04:13:08.961759,2023-02-19 04:13:08.961772,6,7,2023-02-19 04:06:55.862000,2025-12-31 00:00:00,1
9,2023-02-19 04:13:21.059817,2023-02-19 04:13:21.059830,6,7,2023-02-19 04:06:55.862000,2026-05-13 00:00:00,1
10,2023-02-19 04:15:21.344183,2023-02-19 04:15:21.344196,3,9,2023-02-19 04:06:55.862000,2025-11-17 00:00:00,1
11,2023-02-19 04:16:29.273503,2023-02-19 04:16:29.273511,3,8,2023-02-19 04:06:55.862000,2026-11-24 00:00:00,3
12,2023-02-19 04:24:10.577414,2023-02-19 04:24:10.577426,7,10,2023-02-19 04:06:55.862000,2024-11-01 00:00:00,1
13,2023-02-19 04:24:56.028767,2023-02-19 04:24:56.028774,7,11,2023-02-19 04:06:55.862000,2024-06-01 00:00:00,1
14,2023-02-19 04:26:04.574146,2023-02-19 04:26:04.574158,7,12,2023-02-19 04:06:55.862000,2025-03-28 00:00:00,1
15,2023-02-19 04:28:03.936264,2023-02-19 04:28:03.936277,8,13,2023-02-19 04:06:55.862000,2024-12-28 00:00:00,1
16,2023-02-19 04:29:32.324133,2023-02-19 04:29:32.324145,8,14,2023-02-19 04:06:55.862000,2025-12-28 00:00:00,3
17,2023-02-19 04:29:43.643480,2023-02-19 04:29:43.643493,8,14,2023-02-19 04:06:55.862000,2024-12-28 00:00:00,1
18,2023-02-19 04:30:55.511281,2023-02-19 04:30:55.511295,9,15,2023-02-19 04:06:55.862000,2024-12-28 00:00:00,1
19,2023-02-19 04:33:31.976272,2023-02-19 04:32:46.713414,10,16,2023-02-19 04:06:55.862000,2025-09-01 00:00:00,1
20,2023-02-19 04:35:05.184304,2023-02-19 04:35:05.184311,11,17,2023-02-19 04:06:55.862000,2024-07-28 00:00:00,1
21,2023-02-19 04:36:11.851155,2023-02-19 04:36:11.851167,12,18,2023-02-19 04:06:55.862000,2025-03-25 00:00:00,1
